char_code,currency_name,year,observations,mean_rate_rub,median_rate_rub,min_rate_rub,max_rate_rub,first_rate_rub,last_rate_rub,std_rate_rub,mean_abs_daily_return_pct,max_abs_daily_return_pct,annualized_volatility_pct,extreme_return_days,annual_return_pct,rate_range_pct,gdp_growth_pct,inflation_consumer_prices_pct,official_exchange_rate_lcu_per_usd
GBP,Фунт стерлингов,2024,248,118.47917741935484,116.51820000000001,104.8552,138.9123,115.2651,127.4962,6.52645877310648,0.661660899020957,4.988813973064743,15.555428051289402,1,10.61127782824116,32.48012497234281,4.34437475491529,8.43486410496723,92.5524
GBP,Фунт стерлингов,2025,247,109.58754251012145,108.1193,101.7601,126.2477,126.2477,105.606,5.201546910062036,0.7058864533836984,3.1809569257112313,15.084147345645377,0,-16.350159250425943,24.064048679197448,,,
GBP,Фунт стерлингов,2026,105,103.02431523809523,103.7442,95.0245,113.0295,105.73,96.3707,3.9803374200026473,0.7337072804641244,2.9419889995116466,14.83846612519861,0,-8.8520760427504,18.947745055222587,,,
JPY,Иена,2014,247,0.3627578340080972,0.349974,0.311228,0.578051,0.311228,0.470644,0.03921675041585737,1.026587729772075,13.027570231692353,29.45344984119918,9,51.22161245132186,85.73232485509014,0.736267221765672,7.82016970013845,38.3782071444168
JPY,Иена,2015,247,0.5066761943319839,0.519963,0.409797,0.6050869999999999,0.469998,0.6050869999999999,0.0525478758468015,1.2949497059017394,12.457925352873822,28.457407062824252,4,28.742462733883944,47.65530250343459,-1.97271922580408,15.5343959935701,60.9376501088951
JPY,Иена,2016,248,0.6160776854838709,0.6153325,0.515941,0.7139369999999999,0.605806,0.518324,0.03675928793146862,1.1414147662326979,6.603764241357801,25.24802435370176,7,-14.440596494587366,38.37570574930078,0.193690071260534,7.04243725413707,67.0559333333333
JPY,Иена,2017,247,0.5202815060728745,0.5187149999999999,0.495576,0.552101,0.511124,0.511479,0.011057988454025117,0.6116993137465101,2.8089331159232733,12.768881449572605,0,0.06945477027100466,11.405919576412082,1.82579006401834,3.68333072334495,58.3428011851719
JPY,Иена,2018,247,0.5694645870445344,0.573043,0.505483,0.629976,0.505483,0.629976,0.0296100166998771,0.675761121395271,6.574896415472287,15.191318427709627,1,24.628523610091733,24.628523610091733,2.80724541059601,2.87831382614981,62.6681333333334
JPY,Иена,2019,246,0.5930159634146341,0.5894205,0.563804,0.630813,0.6160869999999999,0.567032,0.01401733531646316,0.4540103909836683,3.2829383246436805,9.781269819767607,0,-7.962349473369823,11.885158672162666,2.19807571335009,4.47202631837903,64.7376583333333
JPY,Иена,2020,243,0.6786145720164609,0.694035,0.55581,0.7680020000000001,0.569746,0.714915,0.05423384663671227,0.8530119714885038,8.30675635417155,19.549253642899576,2,25.479599681261476,38.17707489969595,-2.65365450102773,3.38219796948068,72.1049083333333
JPY,Иена,2021,248,0.6706104838709677,0.668115,0.610057,0.730375,0.716058,0.6450969999999999,0.025818080268383132,0.4954939425350381,2.6445767394117414,10.705536736892315,0,-9.909951428515573,19.722419380484133,5.86649177292595,6.69445891957612,73.65435
JPY,Иена,2022,247,0.5277711295546559,0.458169,0.37585799999999997,1.03922,0.649168,0.530609,0.14611195072350203,1.7735130804337047,12.293818502635467,42.005744380021866,24,-18.26322307938777,176.49271799456181,-1.43588213859842,13.7436797398232,68.4849416666667
JPY,Иена,2023,247,0.608100093117409,0.608947,0.513855,0.696443,0.526042,0.633302,0.04175978803703162,0.743852750262259,3.885745136357177,15.80324016179542,0,20.390006881579794,35.53298109388838,4.08252481259281,5.86571931748967,85.1620083333333
JPY,Иена,2024,248,0.6121218911290323,0.6109955,0.523493,0.722478,0.628155,0.643746,0.03780339959307575,0.7525145427936069,5.160016305086279,17.378042319619023,1,2.4820307089810756,38.01101447392801,4.34437475491529,8.43486410496723,92.5524
JPY,Иена,2025,247,0.556259991902834,0.54773,0.49073700000000003,0.660095,0.646063,0.500491,0.03732076330051766,0.823418986709866,3.9355328444324322,17.405061702980714,0,-22.53216791551289,34.51094985705172,,,
JPY,Иена,2026,105,0.4844375619047619,0.49209400000000003,0.44508000000000003,0.530901,0.501664,0.447911,0.02087281271770847,0.7078080598104198,2.8413120472402076,14.30706742347131,0,-10.714940677425522,19.282151523321623,,,
KZT,Тенге,2014,247,0.21505752631578948,0.19913699999999998,0.18324300000000002,0.36924999999999997,0.21175999999999998,0.308257,0.03478317230080128,0.9949473475467218,15.795473850803376,32.90439252848727,10,45.56904042312053,101.50837958339469,0.736267221765672,7.82016970013845,38.3782071444168
KZT,Тенге,2015,247,0.28284930769230765,0.284047,0.20461,0.37736800000000004,0.308143,0.215165,0.04772741949066881,1.5610461192899219,20.5376034717352,40.99087898453628,6,-30.173653141560898,84.43282342016522,-1.97271922580408,15.5343959935701,60.9376501088951
KZT,Тенге,2016,248,0.19527504032258064,0.19132,0.180753,0.21973299999999998,0.213821,0.181637,0.009371491280702296,0.6241555845229928,3.629544754275127,14.084919325061762,4,-15.051842428947582,21.56534054759809,0.193690071260534,7.04243725413707,67.0559333333333
KZT,Тенге,2017,247,0.17875872874493925,0.18015899999999999,0.166873,0.18648499999999998,0.180764,0.173184,0.004676257044522588,0.42557199558661674,1.5639215779552185,8.4893808116708,0,-4.193312827775442,11.752650219028826,1.82579006401834,3.68333072334495,58.3428011851719
KZT,Тенге,2018,247,0.18192203238866397,0.18096299999999998,0.170983,0.19345800000000002,0.172671,0.18056999999999998,0.0047771986653663175,0.4706313573494091,4.336642549884506,10.37797541136835,2,4.574595618256683,13.144581625073858,2.80724541059601,2.87831382614981,62.6681333333334
KZT,Тенге,2019,246,0.168688337398374,0.168638,0.162174,0.17857900000000002,0.17857900000000002,0.162174,0.003994736835855236,0.30065744115801846,1.2762594510433267,6.23543427527284,0,-9.186410496194963,10.115678222156443,2.19807571335009,4.47202631837903,64.7376583333333
KZT,Тенге,2020,243,0.17448083127572017,0.17462,0.161098,0.185031,0.161665,0.17548100000000003,0.004826365680953994,0.5682531379275496,5.486131938196315,13.720935659159238,2,8.546067485231813,14.85617450247676,-2.65365450102773,3.38219796948068,72.1049083333333
KZT,Тенге,2021,248,0.1725970806451613,0.1722505,0.163365,0.180887,0.17525200000000002,0.16899999999999998,0.0037444387342785417,0.38185615071572293,1.7756821829855607,7.9603199133782985,0,-3.5674343231461125,10.72567563431579,5.86649177292595,6.69445891957612,73.65435
KZT,Тенге,2022,247,0.1479083805668016,0.133248,0.112176,0.23148800000000003,0.172328,0.152583,0.027437050713044732,1.534511060078071,12.423575053182656,38.138971745978836,24,-11.45780140197763,106.361432035373,-1.43588213859842,13.7436797398232,68.4849416666667
KZT,Тенге,2023,247,0.18797238866396762,0.192896,0.146082,0.226643,0.151735,0.19770800000000002,0.018801659523784743,0.7854066594024985,4.169552997445325,16.59727352310191,0,30.298217286716977,55.14779370490548,4.08252481259281,5.86571931748967,85.1620083333333
KZT,Тенге,2024,248,0.19734760483870967,0.19874950000000002,0.178486,0.219371,0.19939099999999998,0.19486,0.008353797181963721,0.7019876269254519,6.112455441937925,17.003701403873077,2,-2.2724195174305684,22.90655849758525,4.34437475491529,8.43486410496723,92.5524
KZT,Тенге,2025,247,0.15974651821862348,0.15420299999999998,0.14605,0.195713,0.194016,0.154978,0.013368772846807831,0.7394179258594841,3.9719274221157175,16.31223853413795,0,-20.12102094672604,34.0041081821294,,,
KZT,Тенге,2026,105,0.15781677142857145,0.156402,0.146272,0.17583300000000002,0.154511,0.147174,0.006915325468252964,0.8597454932982322,3.721559174554634,17.566390799766737,0,-4.748529230928544,20.209609494640123,,,
TRY,Турецкая лира,2014,247,17.58796882591093,16.7112,14.8975,28.6812,15.4087,24.2723,2.5196481118442193,0.9653201204801044,10.730025243016328,26.734437109759423,6,57.523347199958486,92.52357778150694,0.736267221765672,7.82016970013845,38.3782071444168
TRY,Турецкая лира,2015,247,22.48211295546559,22.2082,18.3438,28.8318,24.1789,25.0758,2.4175752865405515,1.2285844400703938,13.032850956826003,27.8333618134911,2,3.709432604460927,57.17463121054524,-1.97271922580408,15.5343959935701,60.9376501088951
TRY,Турецкая лира,2016,248,22.17871008064516,22.0519,17.0494,27.4881,24.9863,17.2023,2.3613395179018357,0.8469427514526605,5.529449704005707,18.99647885791714,1,-31.15307188339209,61.22620150855749,0.193690071260534,7.04243725413707,67.0559333333333
TRY,Турецкая лира,2017,247,15.988523076923077,15.8697,14.7711,17.1436,16.2642,15.239,0.6196657397485671,0.5888873282470849,5.4533405416717695,13.016383065218523,1,-6.3034148620897295,16.06176926566063,1.82579006401834,3.68333072334495,58.3428011851719
TRY,Турецкая лира,2018,247,13.143938461538461,13.2033,10.0568,15.4984,15.1921,13.176,1.5411189448888056,1.0727232962216195,10.122883060011612,26.861284078526914,7,-13.270713067976114,54.10866279532256,2.80724541059601,2.87831382614981,62.6681333333334
TRY,Турецкая лира,2019,246,11.387327642276423,11.1874,10.3882,12.6208,12.1739,10.4087,0.5729118518657955,0.6587516568397116,7.605494839101401,16.14124727482468,3,-14.499872678435011,21.49169249725651,2.19807571335009,4.47202631837903,64.7376583333333
TRY,Турецкая лира,2020,243,10.286484403292182,10.2616,9.11627,12.2984,10.4148,10.0887,0.5840421102345501,0.8308052828948798,6.51909067552896,18.874621738497936,3,-3.1311210969005687,34.90605258510335,-2.65365450102773,3.38219796948068,72.1049083333333
TRY,Турецкая лира,2021,248,8.508931572580645,8.63908,4.24692,10.6718,9.99739,5.78432,1.3526927530880886,1.2057911473913963,25.593606660827128,37.47967020483651,12,-42.14169898343467,151.2832829438746,5.86649177292595,6.69445891957612,73.65435
TRY,Турецкая лира,2022,247,4.22550935222672,3.4206000000000003,2.98581,8.16441,5.43317,3.7586500000000003,1.2966354120877863,1.572778972563856,14.102991431409206,39.413838779806234,21,-30.820313003274325,173.4403729641203,-1.43588213859842,13.7436797398232,68.4849416666667
TRY,Турецкая лира,2023,247,3.63312987854251,3.59865,3.04815,4.27968,3.7460099999999996,3.04815,0.33358041105347136,0.6998448333720875,6.069338254679691,16.951806989037465,2,-18.629421704693783,40.402539245115875,4.08252481259281,5.86571931748967,85.1620083333333
TRY,Турецкая лира,2024,248,2.8185012499999997,2.83765,2.54341,3.16664,3.0274799999999997,2.8912199999999997,0.1252522956986551,0.6194091647049226,5.063697477109597,14.858855438590227,1,-4.50077292005232,24.503717450194817,4.34437475491529,8.43486410496723,92.5524
TRY,Турецкая лира,2025,247,2.1171246153846157,2.0011099999999997,1.7940200000000002,2.91772,2.8936900000000003,1.8237700000000001,0.2775930414969989,0.6724952379691851,3.534218767621211,14.65188295230628,0,-36.97424395840605,62.63586805052339,,,
TRY,Турецкая лира,2026,105,1.7237833333333334,1.7569700000000001,1.55239,1.92062,1.8312899999999999,1.56014,0.09418697012679933,0.65791381620402,2.5262803624297447,13.202135510584935,0,-14.806502520081466,23.720199176753276,,,
USD,Доллар США,2014,247,38.60246801619434,35.9635,32.6587,67.7851,32.6587,56.2584,6.426427186393837,0.9335068840047861,12.070794319105527,28.30706635222918,9,72.2616025745054,107.5560264186878,0.736267221765672,7.82016970013845,38.3782071444168
