year,indicator_id,indicator_name,metric,value,last_updated
1974,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1973,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1972,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1971,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1970,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1969,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1968,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1967,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1966,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1965,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1964,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1963,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1962,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1961,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
1960,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
2025,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
2024,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,92.5524,2026-04-08
2023,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,85.1620083333333,2026-04-08
2022,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,68.4849416666667,2026-04-08
2021,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,73.65435,2026-04-08
2020,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,72.1049083333333,2026-04-08
2019,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,64.7376583333333,2026-04-08
2018,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,62.6681333333334,2026-04-08
2017,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,58.3428011851719,2026-04-08
2016,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,67.0559333333333,2026-04-08
2015,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,60.9376501088951,2026-04-08
2014,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,38.3782071444168,2026-04-08
2013,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,31.8371436402813,2026-04-08
2012,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,30.8398313519917,2026-04-08
2011,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,29.3823413709302,2026-04-08
2010,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,30.3679153383059,2026-04-08
2009,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,31.7403583333333,2026-04-08
2008,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,24.852875,2026-04-08
2007,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,25.5808453675404,2026-04-08
2006,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,27.1909583333333,2026-04-08
2005,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,28.2844416666667,2026-04-08
2004,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,28.8137416666667,2026-04-08
2003,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,30.692025,2026-04-08
2002,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,31.3484833333333,2026-04-08
2001,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,29.168525,2026-04-08
2000,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,28.1291666666667,2026-04-08
1999,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,24.6199,2026-04-08
